ts,value
1445894792716,10
1445898190977,25.75
1445898191999,26.01
1445898193031,25.66
1445898194058,25.04
1445898328495,24.96
1445898329523,26.10
1445898330547,25.22
1445898331562,25.75
1445898414766,25.39
1445898415794,25.83
1445898416820,25.66
1445898417852,25.31
1445898585684,26.01
1445898586712,25.57
1445898587738,26.19
1445898588772,26.10
1445898589968,25.66
1445898591000,25.39
1445899190250,17.13
1445899723726,25.57
1445899724754,25.13
1445899725779,25.48
1445899726810,25.57
1445899728018,25.66
1445899729058,25.31
1445899730091,25.66
1445899731119,25.13
1445899732150,25.13
1445899733178,25.39
1445899734214,25.57
1445899735235,25.57
1445899736253,25.48
1445899737274,25.92
1445899738294,25.39
1445899739314,25.13
1445899740333,25.31
1445899741356,25.31
1445899742373,25.75
1445899743398,25.31
1445899744488,25.39
1445899745520,24.96
1445899746548,25.39
1445899747582,25.75
1445899748607,25.75
1445899749623,25.31
1445899750645,25.22
1445899751664,25.66
1445899752685,25.48
1445899753703,25.66
1445899754725,23.91
1445899755745,25.39
1445899756775,26.10
1445899757795,24.78
1445899758811,24.96
1445899759837,25.92
1445899760852,25.13
1445899761876,25.48
1445899762892,25.83
1445899763918,25.57
1445899764950,25.48
1445899765999,25.57
1445899767030,25.22
1445899768058,25.39
1445899769091,25.31
1445899770117,24.96
1445899771130,25.48
1445899772182,25.75
1445899773206,25.57
1445899774220,25.75
1445899775249,25.13
1445899776282,25.04
1445899777307,25.66
1445899778321,25.31
1445899779347,25.48
1445899780359,25.22
1445899781390,25.57
1445899782418,25.92
1445899783450,25.75
1445899784481,25.48
1445899785507,25.13
1445899786532,25.48
1445899787557,25.13
1445899788572,25.92
1445899789597,25.22
1445899790632,25.66
1445899791657,25.22
1445899792671,25.31
1445899793697,25.57
1445899794711,25.57
1445899795737,25.48
1445899796752,25.31
1445899797775,25.48
1445899798793,25.66
1445899799827,25.22
1445899800839,25.48
1445899801871,25.92
1445899802897,25.83
1445899803911,25.83
1445899804940,25.22
1445899805970,25.13
1445899806999,25.13
1445899808030,25.31
1445899809057,25.83
1445899810070,25.92
1445899811100,25.48
1445899812127,24.96
1445899813141,25.31
1445899814188,25.75
1445899815219,25.66
1445899816249,25.75
1445899817278,25.22
1445899818289,25.66
1445899819319,24.87
1445899820350,25.92
1445899821380,25.31
1445899822408,25.66
1445899823441,25.13
1445899824467,25.57
1445899825481,24.87
1445899826509,25.48
1445899827539,25.75
1445899828569,25.48
1445899829599,25.04
1445899830633,24.96
1445899831655,25.83
1445899832673,25.22
1445899833695,25.39
1445899834753,25.31
1445899835779,25.22
1445899836827,25.48
1445899837842,25.39
1445899838864,25.31
1445899839884,25.48
1445899840904,25.22
1445899841926,25.04
1445899842940,25.48
1445899843986,25.83
1445899845002,25.13
1445899846024,25.92
1445899847045,25.04
1445899848061,25.39
1445899849088,25.66
1445899850121,25.22
1445899851145,25.39
1445899852163,25.13
1445899853185,25.66
1445899854203,25.31
1445899855223,25.66
1445899856246,25.13
1445899857262,25.66
1445899858287,25.75
1445899859306,25.31
1445899860323,25.22
1445899861345,25.92
1445899862366,25.04
1445899863383,25.04
1445899864405,25.92
1445899865423,26.01
1445899866446,25.39
1445899867463,25.83
1445899868485,25.75
1445899869501,25.22
1445899870527,25.75
1445899871539,25.75
1445899872571,25.22
1445899873597,25.22
1445899874612,25.66
1445899875636,25.83
1445899876652,24.96
1445899877677,25.66
1445899878692,25.22
1445899879716,25.31
1445899880735,25.04
1445899881753,25.39
1445899882773,26.01
1445899883794,25.22
1445899884815,25.22
1445899885833,25.66
1445899886855,25.66
1445899887874,25.39
1445899888896,25.13
1445899889913,25.22
1445899890936,25.22
1445899891956,25.48
1445899892973,26.01
1445899893995,25.22
1445899895011,25.22
1445899896039,25.57
1445899897069,25.31
1445899898102,25.92
1445899899144,25.31
1445899900162,25.04
1445899901187,25.83
1445899902222,25.39
1445899903247,25.39
1445899904261,25.04
1445899905286,25.13
1445899906303,25.75
1445899907325,25.92
1445899908343,25.13
1445899909365,25.66
1445899910383,25.39
1445899911405,25.66
1445899912425,25.13
1445899913442,25.22
1445899914467,25.57
1445899915482,25.66
1445899916505,25.13
1445899917521,25.48
1445899918548,25.57
1445899919581,25.66
1445899920607,24.87
1445899921621,25.39
1445899922647,25.31
1445899923661,26.01
1445899924690,25.48
1445899925719,24.96
1445899926752,25.04
1445899927778,25.66
1445899928811,25.75
1445899929838,25.22
1445899930871,25.48
1445899931920,25.48
1445899932947,25.57
1445899933959,25.75
1445899934989,24.96
1445899936019,25.83
1445899937050,25.22
1445899938079,25.04
1445899939109,25.75
1445899940139,25.22
1445899941169,25.22
1445899942199,25.83
1445899943229,25.48
1445899944260,25.39
1445899945288,25.83
1445899946320,25.83
1445899947349,25.75
1445899948378,25.39
1445899949410,25.04
1445899950438,25.13
1445899951474,25.22
1445899952494,25.39
1445899953514,25.83
1445899954534,25.83
1445899955554,25.48
1445899956572,25.66
1445899957596,25.48
1445899958611,25.22
1445899959635,25.66
1445899960656,25.57
1445899961673,25.31
1445899962695,25.66
1445899963713,25.75
1445899964735,25.13
1445899965753,25.92
1445899966775,26.01
1445899967794,25.22
1445899968815,25.57
1445899969833,25.31
1445899970856,25.83
1445899971872,25.13
1445899972896,25.39
1445899973912,25.75
1445899974934,25.92
1445899975954,25.31
1445899976975,25.22
1445899977993,25.75
1445899979015,25.31
1445899980033,24.96
1445899981053,25.22
1445899982073,25.39
1445899983095,25.22
1445899984113,25.39
1445899985136,25.31
1445899986153,25.22
1445899987177,25.39
1445899988192,25.48
1445899989218,25.92
1445899990254,25.75
1445899991275,25.22
1445899992296,25.66
1445899993318,25.57
1445899994371,25.39
1445899995398,25.75
1445899996430,25.48
1445899997459,25.13
1445899998490,25.48
1445899999519,25.31
1445900000551,26.01
1445900001578,25.22
1445900002609,25.13
1445900003638,25.31
1445900004671,25.83
1445900005698,26.19
1445900006732,25.48
1445900007756,25.92
1445900028552,24.96
1445900038665,25.13
1445900048686,25.04
1445900058696,24.69
1445900068709,26.01
1445900078720,25.22
1445900088728,25.39
1445900098734,28.59
1445900108740,31.71
1445900118746,33.12
1445900128752,35.05
1445900138758,36.04
1445900148768,36.94
1445900158787,36.94
1445900168795,37.96
1445900178805,37.96
1445900188811,38.17
1445900198834,38.58
1445900208840,38.48
1445900218845,38.37
1445900228851,38.79
1445900238876,38.48
1445900248880,39.31
1445900258886,37.96
1445900268893,38.79
1445900278898,38.79
1445900288904,38.79
1445900298908,38.58
1445900308915,38.27
1445900318919,36.84
1445900328925,36.74
1445900338929,34.96
1445900348936,34.76
1445900358946,33.50
1445900368955,33.12
1445900378961,32.74
1445900388965,32.18
1445900398971,32.27
1445900408978,31.15
1445900418983,30.14
1445900428990,30.50
1445900438996,29.68
1445900449002,29.59
1445900459009,29.04
1445900469015,28.68
1445900479020,28.95
1445900489026,28.14
1445900499057,28.23
1445900509063,27.78
1445900519069,27.25
1445900529073,27.16
1445900548897,26.80
1445900559002,27.07
1445900569020,26.36
1445900579029,26.63
1445900589038,26.80
1445900599044,26.80
1445900609050,26.19
1445900619056,26.54
1445900629060,25.39
1445900639064,25.48
1445900649068,26.45
1445900659073,25.92
1445900669077,25.83
1445900679093,25.48
1445900699595,25.57
1445900709703,25.92
1445900719720,25.39
1445900729726,26.01
1445900739736,29.41
1445900749743,32.18
1445900759750,33.31
1445900769756,31.90
1445900779763,31.06
1445900789770,30.87
1445900799777,30.14
1445900809783,30.69
1445900819787,30.04
1445900829803,29.95
1445900839811,29.04
1445900849821,29.77
1445900859826,29.13
1445900869845,28.86
1445900879850,29.32
1445900889855,28.95
1445900899859,29.04
1445900909863,28.86
1445900919867,29.04
1445900929871,27.87
1445900939875,27.52
1445900949879,27.25
1445900959883,28.50
1445900969887,28.14
1445900979891,27.34
1445900989896,31.15
1445900999902,33.50
1445901009907,33.70
1445901019914,35.54
1445901029922,37.14
1445901039928,36.14
1445901049932,37.04
1445901059936,37.86
1445901069940,37.65
1445901079944,38.27
1445901089948,37.14
1445901099953,38.06
1445901109958,37.45
1445901119963,38.79
1445901129968,39.31
1445901139972,38.48
1445901149976,38.37
1445901159980,38.89
1445901170007,39.42
1445901180011,38.48
1445901190015,38.06
1445901200021,39.21
1445901210025,38.58
1445901220029,38.68
1445901230034,38.58
1445901240038,39.42
1445901250042,37.86
1445901260046,38.89
1445901270051,39.00
1445901280054,39.95
1445901290058,38.79
1445901300063,36.74
1445901310067,36.24
1445901320072,35.15
